Substância Ativa/DCI,Nome do Medicamento,Forma Farmacêutica,Dosagem,Titular de AIM,Genérico,Estado da AIM,Comercialização
Olopatadina,Olopatadina Vir,"Colírio, solução",1 mg/ml,"Laboratórios Vir Portugal, Lda.",Não,Autorizado,Não Comercializado
Epirrubicina,Epirrubicina Accord,Solução injetável ou para perfusão,2 mg/ml,"Accord Healthcare, S.L.U.",Sim,Autorizado,Não Comercializado
Benzidamina,Flogoral,Pastilha,3 mg,"Angelini Pharma Portugal, Unipessoal Lda",Não,Autorizado,Não Comercializado
Electrólitos,Hemosol B0,Solução para hemodiálise ou hemofiltração,Associação,Baxter Holding BV,Não,Autorizado,Comercializado
Ofloxacina,Floxedol,"Colírio, solução",3 mg/ml,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Ambroxol,Ambroxol Fluidox 30 mg Comprimidos,Comprimido,30 mg,"Baldacci - Portugal, S.A.",Sim,Autorizado,Comercializado
Ambroxol,Ambroxol Fluidox 6 mg/ml Xarope,Xarope,6 mg/ml,"Baldacci - Portugal, S.A.",Sim,Autorizado,Comercializado
Acetilcisteína,Fluimucil,Comprimido efervescente,600 mg,"Zambon - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Posaconazol,Posaconazol Mylan,Comprimido gastrorresistente,100 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Vacina contra a gripe,Fluvirin,Suspensão injetável em seringa pré-cheia,Associação,"Evans Vaccines, Ltd.",Não,Autorizado,Não Comercializado
Lidocaína,Lidocaína 2% Braun,Solução injetável,20 mg/ml,"B. Braun Medical, Unipessoal Lda.",Não,Autorizado,Comercializado
Ibuprofeno,Brufen,Comprimido revestido por película,200 mg,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Alopurinol,Alopurinol Sidefarma,Comprimido,300 mg,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",Não,Autorizado,Não Comercializado
Brimonidina,Alphagan,"Colírio, solução",2 mg/ml,"Abbvie, Lda.",Não,Autorizado,Comercializado
Alprazolam,Alprazolam Mylan,Comprimido,0.5 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Minoxidil,Ocicol,Solução cutânea,50 mg/ml,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Milrinona,Corotrope,Solução injetável,10 mg/10 ml,"Sanofi - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Tansulosina,Tansulosina Aristo,Cápsula de libertação prolongada,0.4 mg,"Aristo Pharma Iberia, SL",Sim,Autorizado,Não Comercializado
Sunitinib,Sunitinib Accord,Cápsula,25 mg,"Accord Healthcare, S.L.U.",Sim,Autorizado,Comercializado
Drospirenona + Estetrol,Drovelis,Comprimido revestido por película,3 mg + 14.2 mg,"Gedeon Richter, Plc.",Não,Autorizado,Comercializado
Cenobamato,Ontozry,Comprimido revestido por película,50 mg,Angelini Pharma S.P.A.,Não,Autorizado,Não Comercializado
